zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60636,17,04/19/2020,04/25/2020,76.0,319.0,234,785,5,28
60620,10,03/01/2020,03/07/2020,,,3,3,0,0
60634,13,03/22/2020,03/28/2020,40.0,49.0,341,415,0,0
60652,16,04/12/2020,04/18/2020,61.0,224.0,212,648,3,9
60609,13,03/22/2020,03/28/2020,28.0,40.0,131,199,0,0
60631,14,03/29/2020,04/04/2020,20.0,39.0,160,375,1,1
60628,15,04/05/2020,04/11/2020,97.0,301.0,216,868,16,25
60623,17,04/19/2020,04/25/2020,387.0,901.0,879,2067,13,36
60632,18,04/26/2020,05/02/2020,525.0,1324.0,1185,2981,9,26
60602,16,04/12/2020,04/18/2020,,,10,23,0,0
60603,15,04/05/2020,04/11/2020,,,5,13,0,0
60659,14,03/29/2020,04/04/2020,60.0,111.0,156,354,3,4
60614,16,04/12/2020,04/18/2020,33.0,192.0,195,814,15,24
60655,10,03/01/2020,03/07/2020,,,0,0,0,0
60637,17,04/19/2020,04/25/2020,72.0,307.0,521,1400,5,13
60628,10,03/01/2020,03/07/2020,,,1,1,0,0
60606,14,03/29/2020,04/04/2020,2.0,5.0,10,43,0,0
60640,16,04/12/2020,04/18/2020,133.0,292.0,316,902,8,17
60617,15,04/05/2020,04/11/2020,105.0,288.0,270,872,6,16
60639,10,03/01/2020,03/07/2020,,,1,1,0,0
60666,13,03/22/2020,03/28/2020,,,0,0,0,0
60641,10,03/01/2020,03/07/2020,,,0,0,0,0
60625,10,03/01/2020,03/07/2020,,,2,2,0,0
60601,20,05/10/2020,05/16/2020,4.0,65.0,68,402,0,4
60612,15,04/05/2020,04/11/2020,84.0,203.0,248,713,3,7
60615,10,03/01/2020,03/07/2020,,,3,3,0,0
60603,10,03/01/2020,03/07/2020,,,0,0,0,0
60608,14,03/29/2020,04/04/2020,91.0,156.0,194,491,1,1
60644,15,04/05/2020,04/11/2020,137.0,282.0,250,653,3,9
60620,19,05/03/2020,05/09/2020,95.0,830.0,606,3212,6,57
60655,15,04/05/2020,04/11/2020,56.0,104.0,190,531,2,3
60622,20,05/10/2020,05/16/2020,75.0,497.0,386,2044,4,46
60617,20,05/10/2020,05/16/2020,143.0,844.0,783,4016,4,40
60633,19,05/03/2020,05/09/2020,13.0,77.0,89,349,1,1
60605,20,05/10/2020,05/16/2020,7.0,149.0,134,978,0,0
60661,19,05/03/2020,05/09/2020,2.0,28.0,45,205,0,0
60641,16,04/12/2020,04/18/2020,109.0,283.0,313,999,5,11
60608,19,05/03/2020,05/09/2020,262.0,1132.0,751,3372,6,31
60630,20,05/10/2020,05/16/2020,100.0,587.0,410,2448,3,27
60657,10,03/01/2020,03/07/2020,,,4,4,0,0
60651,15,04/05/2020,04/11/2020,130.0,257.0,263,681,6,13
60643,20,05/10/2020,05/16/2020,37.0,603.0,379,2992,3,41
60646,19,05/03/2020,05/09/2020,50.0,263.0,170,1262,15,24
60654,11,03/08/2020,03/14/2020,,,9,10,0,0
60643,15,04/05/2020,04/11/2020,121.0,260.0,214,723,7,10
60630,15,04/05/2020,04/11/2020,65.0,127.0,219,636,4,6
60625,20,05/10/2020,05/16/2020,128.0,1018.0,625,3464,17,73
60620,14,03/29/2020,04/04/2020,136.0,241.0,302,632,10,16
